,c0,c2,c4,c7,c8,c9,c10,c11,c13,c14,c15,c16,c17,c20,c21,c22,c29,c32,c36,ymd,next_month_day1,next_month_day2,filename,dt_rank_neg
25844,0,736010000,髄内釘（大腿骨頸部型・標準型）,0.0,0.0,,1.0,151000.0,0.0,0.0,0.0,1.0,151000.0,0.0,0.0,0.0,,0.0,髄内釘・大腿骨頸部型・標準型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25845,0,736020000,髄内釘（集束型）,0.0,0.0,,1.0,6710.0,0.0,0.0,0.0,1.0,6710.0,0.0,0.0,0.0,,0.0,髄内釘・集束型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25846,0,736030000,髄内釘（可変延長型）,0.0,0.0,,1.0,301000.0,0.0,0.0,0.0,1.0,301000.0,0.0,0.0,0.0,,0.0,髄内釘・可変延長型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25847,0,736040000,髄内釘（横止めスクリュー・標準型）,0.0,0.0,,1.0,13800.0,0.0,0.0,0.0,1.0,15000.0,0.0,0.0,0.0,,0.0,髄内釘・横止めスクリュー・標準型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25848,0,736050000,髄内釘（横止めスクリュー・大腿骨頸部型・標準型）,0.0,0.0,,1.0,34000.0,0.0,0.0,0.0,1.0,34000.0,0.0,0.0,0.0,,0.0,髄内釘・横止めスクリュー・大腿骨頸部型・標準型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25849,0,736060000,髄内釘（ナット）,0.0,0.0,,1.0,19800.0,0.0,0.0,0.0,1.0,19800.0,0.0,0.0,0.0,,0.0,髄内釘・ナット,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25850,0,736070000,固定釘（平面型）,0.0,0.0,,1.0,16100.0,0.0,0.0,0.0,1.0,16100.0,0.0,0.0,0.0,,0.0,固定釘・平面型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25851,0,736080000,固定釘（立体特殊型）,0.0,0.0,,1.0,30700.0,0.0,0.0,0.0,1.0,30700.0,0.0,0.0,0.0,,0.0,固定釘・立体特殊型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
13646,9,736090000,固定釘（高位脛骨骨切り用）,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,93100.0,0.0,0.0,0.0,20200331,0.0,固定釘・高位脛骨骨切り用,2020-04-01,2020-05-01,2020-05-02,t20200305.csv,1.0
25852,0,736100000,固定用金属線（金属線・ワイヤー）,40.0,2.0,ｃｍ,1.0,16.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,,0.0,固定用金属線・金属線・ワイヤー,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25853,0,736110000,固定用金属線（金属線・ケーブル）,0.0,0.0,,1.0,40700.0,0.0,0.0,0.0,1.0,40700.0,0.0,0.0,0.0,,0.0,固定用金属線・金属線・ケーブル,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25854,0,736120000,固定用金属線（大転子専用締結器）,0.0,0.0,,1.0,120000.0,0.0,0.0,0.0,1.0,122000.0,0.0,0.0,0.0,,0.0,固定用金属線・大転子専用締結器,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25855,0,736130000,固定用金属ピン（創外固定器用・標準型）,0.0,0.0,,1.0,22200.0,0.0,0.0,0.0,1.0,22200.0,0.0,0.0,0.0,,0.0,固定用金属ピン・創外固定器用・標準型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25856,0,736140000,固定用金属ピン（創外固定器用・抗緊張ピン・一般型）,0.0,0.0,,1.0,13700.0,0.0,0.0,0.0,1.0,13800.0,0.0,0.0,0.0,,0.0,固定用金属ピン・創外固定器用・抗緊張ピン・一般型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25857,0,736150000,固定用金属ピン（創外固定器用・抗緊張ピン・特殊型）,0.0,0.0,,1.0,25600.0,0.0,0.0,0.0,1.0,25600.0,0.0,0.0,0.0,,0.0,固定用金属ピン・創外固定器用・抗緊張ピン・特殊型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25858,0,736160000,固定用金属ピン（一般用・標準型）,0.0,0.0,,1.0,505.0,0.0,0.0,0.0,1.0,505.0,0.0,0.0,0.0,,0.0,固定用金属ピン・一般用・標準型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25859,0,736170000,人工靱帯,0.0,0.0,,1.0,56900.0,0.0,0.0,0.0,1.0,57600.0,0.0,0.0,0.0,,0.0,人工靱帯,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
20275,9,736180000,人工靱帯（固定器具つき）,0.0,0.0,,1.0,63800.0,0.0,0.0,0.0,1.0,63800.0,0.0,0.0,0.0,20220331,0.0,人工靱帯・固定器具つき,2022-04-01,2022-05-01,2022-05-02,t20220331.csv,1.0
25860,0,736190000,人工骨（汎用型・非吸収型・（顆粒・フィラー））,33.0,1.0,ｇ,1.0,6390.0,0.0,0.0,0.0,1.0,6390.0,0.0,0.0,0.0,,0.0,人工骨・汎用型・非吸収型・顆粒・フィラー,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25861,0,736200000,人工骨（汎用型・非吸収型・多孔体）,36.0,2.0,ｍＬ,1.0,12400.0,0.0,0.0,0.0,1.0,12400.0,0.0,0.0,0.0,,0.0,人工骨・汎用型・非吸収型・多孔体,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
13658,9,736210000,人工骨（汎用型・非吸収型・骨形成促進型）,0.0,0.0,ｍＬ,0.0,0.0,0.0,0.0,0.0,1.0,48000.0,0.0,0.0,0.0,20200331,0.0,人工骨・汎用型・非吸収型・骨形成促進型,2020-04-01,2020-05-01,2020-05-02,t20200305.csv,1.0
25862,0,736220000,人工骨（汎用型・非吸収型・形状賦形型）,36.0,2.0,ｍＬ,1.0,14600.0,0.0,0.0,0.0,1.0,14600.0,0.0,0.0,0.0,,0.0,人工骨・汎用型・非吸収型・形状賦形型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25863,0,736230000,人工骨（汎用型・吸収型・（顆粒・フィラー））,33.0,1.0,ｇ,1.0,12000.0,0.0,0.0,0.0,1.0,12000.0,0.0,0.0,0.0,,0.0,人工骨・汎用型・吸収型・顆粒・フィラー,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25864,0,736240000,人工骨（汎用型・吸収型・多孔体・一般型）,36.0,2.0,ｍＬ,1.0,14000.0,0.0,0.0,0.0,1.0,14000.0,0.0,0.0,0.0,,0.0,人工骨・汎用型・吸収型・多孔体・一般型,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
25865,0,736250000,人工骨（専用型・人工耳小骨）,0.0,0.0,,1.0,11100.0,0.0,0.0,0.0,1.0,11100.0,0.0,0.0,0.0,,0.0,人工骨・専用型・人工耳小骨,2024-06-01,2024-07-01,2024-07-02,t_ALL20250530.csv,1.0
