,c0,c2,c4,c9,c10,c13,c14,c15,c16,c31,c89,c90,c91,c92,c93,c94,ymd,next_month_day1,next_month_day2,filename,dt_rank_neg
121618,0,180062470,複数名精神科訪問看護・指導加算（ロ・日２回・同建物１人又２人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92122,9,180062570,複数名精神科訪問看護・指導加算（ロ・日２回・同一建物内２人）,,3.0,,,,,,2,8,12,0,4,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
121619,0,180062670,複数名精神科訪問看護・指導加算（ロ・日２回・同一建物内３人～）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121620,0,180062770,複数名精神科訪問看護・指導加算（ロ・日３回～・同建物１人又２人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92124,9,180062870,複数名精神科訪問看護・指導加算（ロ・日３回～・同一建物内２人）,,3.0,,,,,,2,8,12,0,4,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
121621,0,180062970,複数名精神科訪問看護・指導加算（ロ・日３回～・同一建物内３人～）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121622,0,180063070,複数名精神科訪問看護・指導加算（ハ・同一建物内１人又は２人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92126,9,180063170,複数名精神科訪問看護・指導加算（ハ・同一建物内２人）,,3.0,,,,,,2,8,12,0,4,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
121623,0,180063270,複数名精神科訪問看護・指導加算（ハ・同一建物内３人～）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121624,0,180063370,精神科複数回訪問加算（日２回・同一建物内１人又は２人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,9,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92128,9,180063470,精神科複数回訪問加算（日２回・同一建物内２人）,,3.0,,,,,,2,8,12,0,9,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
121625,0,180063570,精神科複数回訪問加算（日２回・同一建物内３人～）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,9,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121626,0,180063670,精神科複数回訪問加算（日３回～・同一建物内１人又は２人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,9,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92130,9,180063770,精神科複数回訪問加算（日３回～・同一建物内２人）,,3.0,,,,,,2,8,12,0,9,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
121627,0,180063870,精神科複数回訪問加算（日３回～・同一建物内３人～）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,12,0,9,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121628,0,180063910,持続性抗精神病注射薬剤治療指導管理料（入院中の患者）,,3.0,0.0,0.0,0.0,0.0,99999999.0,2,8,13,0,1,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121629,0,180064010,精神科在宅患者支援管理料３（単一建物１人）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,16,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121630,0,180064110,精神科在宅患者支援管理料３（単一建物２人以上）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,16,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
107018,9,180064230,療養生活環境整備指導加算（要件減算）,,3.0,,,,,,2,8,2,0,12,0,2024-06-01,2024-07-01,2024-07-02,s_20240306.csv,1.0
121631,0,180064350,ホウ素中性子捕捉療法,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,12,1,5,0,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121632,0,180064450,ホウ素中性子捕捉療法適応判定加算,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,12,1,5,1,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121633,0,180064550,ホウ素中性子捕捉療法医学管理加算,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,12,1,5,2,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121634,0,180064650,体外照射用固定器具加算（ホウ素中性子捕捉療法）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,12,1,5,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
94868,9,180064750,精神疾患の診療（新型コロナウイルス感染症・診療報酬上臨時的取扱）,,3.0,,,,,,2,1,0,0,15,2,2023-05-08,2023-06-01,2023-06-02,s_20230424.csv,1.0
71826,9,180064870,医科外来等感染症対策実施加算（精神科訪問看護・指導料）,,3.0,,,,,,2,8,999,0,0,0,2021-10-01,2021-11-01,2021-11-02,s_20210930.csv,1.0
71815,9,180064950,長時間精神科訪問看護・指導加算（診療報酬上臨時的取扱）,,3.0,,,,,,2,8,12,0,5,2,2021-09-28,2021-10-01,2021-10-02,s_20210930.csv,1.0
121635,0,180065070,運動量増加機器加算,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,7,3,2,4,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
92136,9,180065170,摂食嚥下支援加算,,3.0,,,,,,2,7,4,0,3,0,2022-04-01,2022-05-01,2022-05-02,s_20220331.csv,1.0
