,c0,c2,t1,t2,pointlab,point,ymd,tag,ind
3688,0,700350000,2014-05-02,2016-05-02,1.0,123.0,2014-04-01,ws,1
6286,0,700350000,2016-05-02,2018-05-02,1.0,123.0,2016-04-01,ws,1
8917,0,700350000,2018-05-02,2019-11-02,1.0,123.0,2018-04-01,ws,1
11427,0,700350000,2019-11-02,2020-05-02,1.0,125.0,2019-10-01,ws,1
14063,0,700350000,2020-05-02,2022-05-02,1.0,125.0,2020-04-01,ws,1
20729,0,700350000,2022-05-02,2024-07-02,1.0,125.0,2022-04-01,ws,1
24817,0,700350000,2024-07-02,2025-06-30,1.0,121.0,2024-06-01,ws,1
34,0,700590000,2010-01-01,2012-05-02,2.0,0.0,2012-04-01,bdm,0
1232,0,700590000,2012-05-02,2014-05-02,2.0,0.0,2012-04-01,ws,1
3689,0,700590000,2014-05-02,2016-05-02,2.0,0.0,2014-04-01,ws,1
6287,0,700590000,2016-05-02,2018-05-02,2.0,0.0,2016-04-01,ws,1
8918,0,700590000,2018-05-02,2019-11-02,2.0,0.0,2018-04-01,ws,1
11428,0,700590000,2019-11-02,2020-05-02,2.0,0.0,2019-10-01,ws,1
14064,0,700590000,2020-05-02,2022-05-02,2.0,0.0,2020-04-01,ws,1
20730,0,700590000,2022-05-02,2024-07-02,2.0,0.0,2022-04-01,ws,1
24818,0,700590000,2024-07-02,2025-06-30,2.0,0.0,2024-06-01,ws,1
35,0,700600000,2010-01-01,2012-05-02,2.0,0.0,2012-04-01,bdm,0
1233,0,700600000,2012-05-02,2014-05-02,2.0,0.0,2012-04-01,ws,1
2540,0,700600000,2014-05-02,2016-01-02,2.0,0.0,2014-04-01,ws,1
3690,0,700600000,2016-01-02,2016-05-02,2.0,0.0,2015-12-01,ws,1
6288,0,700600000,2016-05-02,2018-05-02,2.0,0.0,2016-04-01,ws,1
8919,0,700600000,2018-05-02,2019-11-02,2.0,0.0,2018-04-01,ws,1
